,item#,Item,Key,Dimension,Facet,fa_dim,fa_facet
6,i104,Take no time for others,A3,Agreeableness,Altruism,Agreeableness,Dimension not accurate enough
11,i109,Get back at others,A4,Agreeableness,Cooperation,Agreeableness,Dimension not accurate enough
17,i114,Boast about my virtues,A5,Agreeableness,Modesty,Agreeableness,Dimension not accurate enough
22,i119,Try not to think about the needy,A6,Agreeableness,Sympathy,Agreeableness,Dimension not accurate enough
26,i14,Love to help others,A3,Agreeableness,Altruism,Agreeableness,Dimension not accurate enough
31,i19,Love a good fight,A4,Agreeableness,Cooperation,Agreeableness,Dimension not accurate enough
37,i24,Believe that I am better than others,A5,Agreeableness,Modesty,Agreeableness,Dimension not accurate enough
42,i29,Sympathize with the homeless,A6,Agreeableness,Sympathy,Agreeableness,Dimension not accurate enough
48,i34,Believe that others have good intentions,A1,Agreeableness,Trust,Agreeableness,Dimension not accurate enough
53,i39,Cheat to get ahead,A2,Agreeableness,Morality,Agreeableness,Dimension not accurate enough
54,i4,Trust others,A1,Agreeableness,Trust,Agreeableness,Dimension not accurate enough
59,i44,Am concerned about others,A3,Agreeableness,Altruism,Agreeableness,Dimension not accurate enough
64,i49,Yell at people,A4,Agreeableness,Cooperation,Agreeableness,Dimension not accurate enough
70,i54,Think highly of myself,A5,Agreeableness,Modesty,Agreeableness,Dimension not accurate enough
75,i59,Feel sympathy for those who are worse off than myself,A6,Agreeableness,Sympathy,Agreeableness,Dimension not accurate enough
81,i64,Trust what people say,A1,Agreeableness,Trust,Agreeableness,Dimension not accurate enough
86,i69,Take advantage of others,A2,Agreeableness,Morality,Agreeableness,Dimension not accurate enough
92,i74,Am indifferent to the feelings of others,A3,Agreeableness,Altruism,Agreeableness,Dimension not accurate enough
97,i79,Insult people,A4,Agreeableness,Cooperation,Agreeableness,Dimension not accurate enough
103,i84,Have a high opinion of myself,A5,Agreeableness,Modesty,Agreeableness,Dimension not accurate enough
108,i89,Am not interested in other people's problems,A6,Agreeableness,Sympathy,Agreeableness,Dimension not accurate enough
109,i9,Use others for my own ends,A2,Agreeableness,Morality,Agreeableness,Dimension not accurate enough
114,i94,Distrust people,A1,Agreeableness,Trust,Agreeableness,Dimension not accurate enough
119,i99,Obstruct others' plans,A2,Agreeableness,Morality,Agreeableness,Dimension not accurate enough
