item#,Item,Sign,Key,Dimension,Facet,fa_dim,fa_facet
i107,Can manage many things at the same time.,+E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i125,Come up with good solutions.,+C1,C1,Conscientiousness,Self-Efficacy,Openness,Dimension not accurate enough
i13,Experience my emotions intensely.,+O3,O3,Openness,Emotionality,Neuroticism,Dimension not accurate enough
i132,Take control of things.,+E3,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
i135,Listen to my conscience.,+C3,C3,Conscientiousness,Dutifulness,Agreeableness,Dimension not accurate enough
i163,Seldom get emotional.,-O3,O3,Openness,Emotionality,Neuroticism,Dimension not accurate enough
i165,Break rules.,-C3,C3,Conscientiousness,Dutifulness,Agreeableness,Dimension not accurate enough
i167,Like to take it easy.,-E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i168,Dislike changes.,-O4,O4,Openness,Adventurousness,Extraversion,Dimension not accurate enough
i17,Am always busy.,+E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i174,Think highly of myself.,-A5,A5,Agreeableness,Modesty,Neuroticism,Dimension not accurate enough
i18,Prefer variety to routine.,+O4,O4,Openness,Adventurousness,Extraversion,Dimension not accurate enough
i193,Am not easily affected by my emotions.,-O3,O3,Openness,Emotionality,Neuroticism,Dimension not accurate enough
i197,Like to take my time.,-E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i204,Have a high opinion of myself.,-A5,A5,Agreeableness,Modesty,Neuroticism,Dimension not accurate enough
i215,Don't understand things.,-C1,C1,Conscientiousness,Self-Efficacy,Openness,Dimension not accurate enough
i225,Get others to do my duties.,-C3,C3,Conscientiousness,Dutifulness,Agreeableness,Dimension not accurate enough
i227,Like a leisurely lifestyle.,-E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i228,Am a creature of habit.,-O4,O4,Openness,Adventurousness,Extraversion,Dimension not accurate enough
i242,Am not really interested in others.,-E1,E1,Extraversion,Friendliness,Agreeableness,Dimension not accurate enough
i245,Have little to contribute.,-C1,C1,Conscientiousness,Self-Efficacy,Openness,Dimension not accurate enough
i248,Do not like concerts.,-O2,O2,Openness,Artistic Interests,Extraversion,Dimension not accurate enough
i253,Experience very few emotional highs and lows.,-O3,O3,Openness,Emotionality,Neuroticism,Dimension not accurate enough
i257,Let things proceed at their own pace.,-E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i267,Am not easily amused.,-E6,E6,Extraversion,Cheerfulness,Agreeableness,Dimension not accurate enough
i278,Do not enjoy watching dance performances.,-O2,O2,Openness,Artistic Interests,Agreeableness,Dimension not accurate enough
i283,Don't understand people who get emotional.,-O3,O3,Openness,Emotionality,Agreeableness,Dimension not accurate enough
i291,Never splurge.,-N5,N5,Neuroticism,Immoderation,Extraversion,Dimension not accurate enough
i38,Like music.,+O2,O2,Openness,Artistic Interests,Extraversion,Dimension not accurate enough
i39,Stick to the rules.,+A2,A2,Agreeableness,Morality,Conscientiousness,Dimension not accurate enough
i43,Feel others' emotions.,+O3,O3,Openness,Emotionality,Agreeableness,Dimension not accurate enough
i48,Like to visit new places.,+O4,O4,Openness,Adventurousness,Extraversion,Dimension not accurate enough
i60,Choose my words with care.,+C6,C6,Conscientiousness,Cautiousness,Agreeableness,Dimension not accurate enough
i70,"Want everything to be ""just right.""",+C2,C2,Conscientiousness,Orderliness,Neuroticism,Dimension not accurate enough
i77,Do a lot in my spare time.,+E4,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i98,Love flowers.,+O2,O2,Openness,Artistic Interests,Agreeableness,Dimension not accurate enough
